,from,to,weight
51374,Dishaw A.,Sirunyan A.M.,206
29622,Bradmiller-Feld J.,Sirunyan A.M.,206
75393,Kesisoglou S.,Sirunyan A.M.,206
101602,Ozturk S.,Sirunyan A.M.,207
116581,Sirunyan A.M.,Vilar Cortabitarte R.,208
49581,De Oliveira Martins C.,Sirunyan A.M.,209
116922,Sirunyan A.M.,Yi K.,209
32621,Cappati A.,Sirunyan A.M.,210
112627,Salvatico R.,Sirunyan A.M.,210
114857,Shi Z.,Sirunyan A.M.,210
109546,Rastogi A.,Sirunyan A.M.,210
94199,Mclean C.,Sirunyan A.M.,210
90264,Lopez Virto A.,Sirunyan A.M.,212
48607,Danilov M.,Sirunyan A.M.,212
60550,Gruchala M.,Sirunyan A.M.,212
96845,Mulargia R.,Sirunyan A.M.,213
52801,Duh Y.T.,Sirunyan A.M.,213
43389,Chistov R.,Sirunyan A.M.,214
26290,Bertsche D.,Sirunyan A.M.,214
30644,Bueghly J.,Sirunyan A.M.,214
74533,Katkov I.,Sirunyan A.M.,215
109478,Ranken E.,Sirunyan A.M.,215
103987,Penning B.,Sirunyan A.M.,215
90498,Lu N.,Sirunyan A.M.,215
117109,Sirunyan A.M.,d’Enterria D.,217
62928,Hauk J.,Sirunyan A.M.,217
53236,D’Alessandro R.,Sirunyan A.M.,218
50261,Dell’Orso R.,Sirunyan A.M.,218
50915,Di Crescenzo A.,Sirunyan A.M.,218
60119,Grados Luyando J.M.,Sirunyan A.M.,218
101607,O’Dell V.,Sirunyan A.M.,219
115257,Simon S.,Sirunyan A.M.,219
112302,Saini L.K.,Sirunyan A.M.,219
116659,Sirunyan A.M.,Walker M.,220
30022,Brodski M.,Sirunyan A.M.,220
53251,D’Hondt J.,Sirunyan A.M.,220
53239,D’Alfonso M.,Sirunyan A.M.,220
75046,Kellams N.,Sirunyan A.M.,222
116479,Sirunyan A.M.,Vanhoefer A.,222
96745,Mucia N.,Sirunyan A.M.,222
110070,Redjimi R.,Sirunyan A.M.,223
54067,Elumakhov D.,Sirunyan A.M.,224
109058,Quittnat M.,Sirunyan A.M.,225
111927,Saddique A.,Sirunyan A.M.,226
116061,Sirunyan A.M.,Sutar B.,226
88229,Li L.,Sirunyan A.M.,227
13483,Ahmed I.,Sirunyan A.M.,227
116699,Sirunyan A.M.,Wasserbaech S.,227
105697,Pigard P.,Sirunyan A.M.,227
116933,Sirunyan A.M.,You C.,227
47957,Cucciati G.,Sirunyan A.M.,228
113079,Sani M.,Sirunyan A.M.,228
111446,Ruckstuhl N.,Sirunyan A.M.,228
95153,Miagkov I.,Sirunyan A.M.,229
97027,Murillo Quijada J.A.,Sirunyan A.M.,230
49461,De Iorio A.,Sirunyan A.M.,230
89849,Liu Y.F.,Sirunyan A.M.,232
66348,Hunyadi,Sirunyan A.M.,232
115809,Sirunyan A.M.,Slabospitskii S.,232
30003,Brochet S.,Sirunyan A.M.,233
52553,Duchardt D.,Sirunyan A.M.,234
53347,Ebrahimi A.,Sirunyan A.M.,234
53831,El Morabit K.,Sirunyan A.M.,234
